mpn	name	status	type	wifi	bluetooth	threadZigbee	operatingTemp	gpio	flash	sram	rom	psram	freq	dimensions	spq	moq	preFirmware	idfSupports	voltageRange
ESP32-WROOM-32E-N4	ESP32-WROOM-32E	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"4, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-WROOM-32E-N8	ESP32-WROOM-32E(8MB)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"8, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32E-N16	ESP32-WROOM-32E(16MB)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"16, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32E-H4	ESP32-WROOM-32E_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 105	26	"4, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-WROOM-32UE-N4	ESP32-WROOM-32UE	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"4, Quad"	520	448	"0, Quad"	240	18*19.2*3.2	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-WROOM-32UE-N8	ESP32-WROOM-32UE(8MB)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"8, Quad"	520	448	"0, Quad"	240	18*19.2*3.2	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32UE-N16	ESP32-WROOM-32UE(16MB)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"16, Quad"	520	448	"0, Quad"	240	18*19.2*3.2	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROOM-32UE-H4	ESP32-WROOM-32UE_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 105	26	"4, Quad"	520	448	"0, Quad"	240	18*19.2*3.2	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-WROOM-32SE-N4	ESP32-WROOM-32SE	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"4, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-WROOM-32SE-N8	ESP32-WROOM-32SE(8MB)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"8, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-WROOM-32SE-N16	ESP32-WROOM-32SE(16MB)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"16, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-WROVER-E-N4R8	ESP32-WROVER-E	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-E-N8R8	ESP32-WROVER-E(8MB)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-E-N16R8	ESP32-WROVER-E(16MB)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-IE-N4R8	ESP32-WROVER-IE	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-IE-N8R8	ESP32-WROVER-IE(8MB)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-WROVER-IE-N16R8	ESP32-WROVER-IE(16MB)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-MINI-1-N4	ESP32-MINI-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	28	"4, Quad"	520	448	"0, Quad"	240	13.2*19*2.4	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-MINI-1-H4	ESP32-MINI-1_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 105	28	"4, Quad"	520	448	"0, Quad"	240	13.2*19*2.4	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-MINI-1U-N4	ESP32-MINI-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	28	"4, Quad"	520	448	"0, Quad"	240	13.2*13.5*2.4	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-MINI-1U-H4	ESP32-MINI-1U_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 105	28	"4, Quad"	520	448	"0, Quad"	240	13.2*13.5*2.4	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-PICO-V3-ZERO	ESP32-PICO-V3-ZERO Alexa Connect Kit (ACK)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	0	"4, Quad"	520	448	"0, Quad"	240	16*23*2.3	650	3250	YES	v3.x	3.0 ~ 3.6
ESP32-PICO-MINI-02-N8R2	ESP32-PICO-MINI-02	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	27	"8, Quad"	520	448	"2, Quad"	240	13.2*16.6 *2.4	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-PICO-MINI-02U-N8R2	ESP32-PICO-MINI-02U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	27	"8, Quad"	520	448	"2, Quad"	240	13.2*11.2*2.4	650	3250	NO	v3.x	3.0 ~ 3.6
ESP32-SOLO-1-N4	ESP32-SOLO-1	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"4, Quad"	520	448	"0, Quad"	160	18*25.5*3.1	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-SOLO-1-H4	ESP32-SOLO-1_High Temp Version	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 105	26	"4, Quad"	520	448	"0, Quad"	160	18*25.5*3.1	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-DU1906-N8R8	ESP32-DU1906	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-20 ~ 85	0	"8, Quad"	520	448	"8, Octal"	240	22*42*3.5	650	3250	NO	v3.x	3.1 ~ 3.5
ESP32-DU1906-N16R8	ESP32-DU1906(16MB)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-20 ~ 85	0	"16, Quad"	520	448	"8, Octal"	240	22*42*3.5	650	3250	NO	v3.x	3.1 ~ 3.5
ESP32-DU1906-U-N8R8	ESP32-DU1906-U	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-20 ~ 85	0	"8, Quad"	520	448	"8, Octal"	240	22*35.5*3.5	650	3250	NO	v3.x	3.1 ~ 3.5
ESP32-DU1906-U-N16R8	ESP32-DU1906-U(16MB)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-20 ~ 85	0	"16, Quad"	520	448	"8, Octal"	240	22*35.5*3.5	650	3250	NO	v3.x	3.1 ~ 3.5
ESP32-WROOM-32D-N4	ESP32-WROOM-32D	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"4, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-WROOM-32D-N8	ESP32-WROOM-32D(8MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"8, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROOM-32D-N16	ESP32-WROOM-32D(16MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"16, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROOM-32D-H4	ESP32-WROOM-32D_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 105	26	"4, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-WROOM-32U-N4	ESP32-WROOM-32U	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"4, Quad"	520	448	"0, Quad"	240	18*19.2*3.2	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-WROOM-32U-N8	ESP32-WROOM-32U(8MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"8, Quad"	520	448	"0, Quad"	240	18*19.2*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROOM-32U-N16	ESP32-WROOM-32U(16MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"16, Quad"	520	448	"0, Quad"	240	18*19.2*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROOM-32U-H4	ESP32-WROOM-32U_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 105	26	"4, Quad"	520	448	"0, Quad"	240	18*19.2*3.2	650	3250	YES	v1.x	3.0 ~ 3.6
ESP32-WROOM-32-N4	ESP32-WROOM-32	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	26	"4, Quad"	520	448	"0, Quad"	240	18*25.5*3.1	550	2750	YES	v1.x	3.0 ~ 3.6
ESP32-WROVER-B-N4R8	ESP32-WROVER-B	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROVER-B-N8R8	ESP32-WROVER-B(8MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROVER-B-N16R8	ESP32-WROVER-B(16MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROVER-IB-N4R8	ESP32-WROVER-IB	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROVER-IB-N8R8	ESP32-WROVER-IB(8MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"8, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROVER-IB-N16R8	ESP32-WROVER-IB(16MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"16, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-WROVER-N4R8	ESP32-WROVER	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v1.x	2.3 ~ 3.6
ESP32-WROVER-I-N4R8	ESP32-WROVER-I	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	24	"4, Quad"	520	448	"8, Octal"	240	18*31.4*3.3	650	3250	NO	v1.x	2.3 ~ 3.6
ESP-WROOM-02D-N2	ESP-WROOM-02D	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps	N/A	N/A	-40 ~ 85	11	"2, Quad"	160	0	"0, Quad"	160	18*20*3.2	650	3250	YES	-	2.7 ~ 3.6
ESP-WROOM-02D-N4	ESP-WROOM-02D(4MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps	N/A	N/A	-40 ~ 85	11	"4, Quad"	160	0	"0, Quad"	160	18*20*3.2	650	3250	YES	-	2.7 ~ 3.6
ESP-WROOM-02D-H2	ESP-WROOM-02D_High Temp Version	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps	N/A	N/A	-40 ~ 105	11	"2, Quad"	160	0	"0, Quad"	160	18*20*3.2	650	3250	YES	-	2.7 ~ 3.6
ESP-WROOM-02U-N2	ESP-WROOM-02U	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps	N/A	N/A	-40 ~ 85	11	"2, Quad"	160	0	"0, Quad"	160	18*14.3*3.2	650	3250	YES	-	2.7 ~ 3.6
ESP-WROOM-02U-N4	ESP-WROOM-02U(4MB)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps	N/A	N/A	-40 ~ 85	11	"4, Quad"	160	0	"0, Quad"	160	18*14.3*3.2	650	3250	YES	-	2.7 ~ 3.6
ESP-WROOM-02U-H2	ESP-WROOM-02U_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps	N/A	N/A	-40 ~ 105	11	"2, Quad"	160	0	"0, Quad"	160	18*14.3*3.2	650	3250	YES	-	2.7 ~ 3.6
ESP-WROOM-02-N2	ESP-WROOM-02	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps	N/A	N/A	-40 ~ 85	11	"2, Quad"	160	0	"0, Quad"	160	18*20*3	650	3250	YES	-	2.7 ~ 3.6
ESP-WROOM-S2-N2	ESP-WROOM-S2	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps	N/A	N/A	-40 ~ 85	9	"2, Quad"	160	0	"0, Quad"	160	16*23*3	650	3250	NO	-	2.7 ~ 3.6
ESP32-S3-WROOM-2-N16R8V	ESP32-S3-WROOM-2	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"16, Octal"	512	384	"8, Octal"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-2-N32R8V	ESP32-S3-WROOM-2	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"32, Octal"	512	384	"8, Octal"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N4	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"4, Quad"	512	384	"0, Quad"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N8	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"8, Quad"	512	384	"0, Quad"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N16	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"16, Quad"	512	384	"0, Quad"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N4R8	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"4, Quad"	512	384	"8, Octal"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N8R8	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"8, Quad"	512	384	"8, Octal"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N16R8	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	33	"16, Quad"	512	384	"8, Octal"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N4R2	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"4, Quad"	512	384	"2, Quad"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N8R2	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"8, Quad"	512	384	"2, Quad"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1U-N16R2	ESP32-S3-WROOM-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"16, Quad"	512	384	"2, Quad"	240	18*25.5*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-MINI-1U-N8	ESP32-S3-MINI-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	39	"8, Quad"	512	384	"0, Quad"	240	15.4*20.5*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-MINI-1U-N4R2	ESP32-S3-MINI-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	39	"4, Quad"	512	382	"2, Quad"	240	15.4*20.5*2.4	650	3250	NO	v0.x	0.0 ~ 3.6
ESP32-S2-MINI-2-N4	ESP32-S2-MINI-2	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"0, Quad"	240	15.4 * 20.5 *2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-MINI-2U-N4	ESP32-S2-MINI-2U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"0, Quad"	240	15.4 * 15.4 *2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-MINI-2-H4	ESP32-S2-MINI-2_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	37	"4, Quad"	320	128	"0, Quad"	240	15.4 * 20.5 *2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-MINI-2U-H4	ESP32-S2-MINI-2U_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	37	"4, Quad"	320	128	"0, Quad"	240	15.4*15.4*2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-MINI-2-N4R2	ESP32-S2-MINI-2(integrates PSRAM)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"2, Quad"	240	15.4*20.5*2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-MINI-2U-N4R2	ESP32-S2-MINI-2U(integrates PSRAM)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"2, Quad"	240	15.4*15.4*2.4	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-SOLO-2-N4	ESP32-S2-SOLO-2	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"4, Quad"	320	128	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-SOLO-2U-N4	ESP32-S2-SOLO-2U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"4, Quad"	320	128	"0, Quad"	240	18*19.2*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-SOLO-2-H4	ESP32-S2-SOLO-2_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	36	"4, Quad"	320	128	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-SOLO-2-N4R2	ESP32-S2-SOLO-2(integrates PSRAM)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"4, Quad"	320	128	"2, Quad"	240	18*25.5*3.1	650	3250	NO	v1.x	3.0 ~ 3.6
ESP32-S2-SOLO-2U-N4R2	ESP32-S2-SOLO-2U(integrates PSRAM)	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"4, Quad"	320	128	"2, Quad"	240	18*19.2*3.2	650	3250	NO	v1.x	3.0 ~ 3.6
ESP8685-WROOM-03-H2	ESP8685-WROOM-03	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"2, Quad"	400	384	"0, Quad"	160	15.0*17.3*2.8	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-05-H2	ESP8685-WROOM-05	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"2, Quad"	400	384	"0, Quad"	160	15.0*17.3*2.8	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-06-H2	ESP8685-WROOM-06	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"2, Quad"	400	384	"0, Quad"	160	15.8*20.3*2.7	650	3250	NO	v0.x	3.0 ~ 3.6
ESP8685-WROOM-03-H4	ESP8685-WROOM-03	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	15.0*17.3*2.8	650	3250	NO	v0.x	3.0 ~ 3.6
