mpn	name	status	type	wifi	bluetooth	threadZigbee	operatingTemp	gpio	flash	sram	rom	psram	freq	dimensions	spq	moq	preFirmware	idfSupports	voltageRange
ESP8684H4	ESP8684	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 72 Mbps	Bluetooth LE v5.3	N/A	-40 ~ 105	14	"4, Quad"	272	576	"0, Quad"	120	QFN24(4*4)	5000	5000	NO	v1.x	3.0 ~ 3.6
ESP32-C6	ESP32-C6	Mass Production	SoC	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 105	30	"0, Quad"	512	320	"0, Quad"	160	QFN40(5*5)	5000	5000	N/A	v0.x	3.0 ~ 3.6
ESP32-C6FH4	ESP32-C6	Mass Production	SoC	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 105	22	"4, Quad"	512	320	"0, Quad"	160	QFN32(5*5)	5000	5000	NO	v0.x	3.0 ~ 3.6
ESP32-C6FH8	ESP32-C6	Mass Production	SoC	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.3	Available	-40 ~ 105	22	"8, Quad"	512	320	"0, Quad"	160	QFN32(5*5)	5000	5000	NO	v0.x	3.0 ~ 3.6
ESP32-H2FH2	ESP32-H2	Mass Production	SoC	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	19	"2, Quad"	320	128	"0, Quad"	96	QFN32(4*4)	5000	5000	NO	v0.x	3.3 ~ 3.6
ESP32-H2FH4	ESP32-H2	Mass Production	SoC	N/A	Bluetooth LE v5.3	Available	-40 ~ 105	19	"4, Quad"	320	128	"0, Quad"	96	QFN32(4*4)	5000	5000	NO	v0.x	3.3 ~ 3.6
ESP32-S3-PICO-1-N8R8	ESP32-S3-PICO-1	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 65	39	"8, Quad"	512	384	"8, Octal"	240	LGA56(7*7)	2000	2000	NO	v0.x	3.0 ~ 3.6
ESP32-P4NRW16	ESP32-P4	Sample	SoC	N/A	N/A		-40 ~ 85	55	0	768	128	16	400	QFN10x10	2000	2000	N/A		3.0 ~ 3.6
ESP32-P4NRW32	ESP32-P4	Sample	SoC	N/A	N/A		-40 ~ 85	55	0	768	128	32	400	QFN10x10	2000	2000	N/A		3.0 ~ 3.6
ESP32-C61HR2	ESP32-C61	Sample	SoC	IEEE 802.11b/g/n/ax; 2.4 GHz; HT20; up to 150 Mbps	Bluetooth LE v5.0	NA	-40 ~ 105	18	"0, Quad"	320	256	"2, Quad"	120	QFN40(5*5)	5000	5000	NO		3.0 ~ 3.6
ESP32-D0WDR2-V3	ESP32	Mass Production	SoC	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	BR/EDR + Bluetooth LE v4.2	N/A	-40 ~ 85	33	"0, Quad"	520	448	"2, Quad"	240	QFN48(5*5)	5000	5000	N/A	"v4.1.3+, v4.2.3+, v4.3.3+, v4.4.1+, v5.0 and later"	2.3 ~ 3.6
